ITS2 profile abundance DB		367	55	38	84	1	1	4	19	103	6	4	17	87	283	356	1721	118	222	50	25	17	4	42	133	31	63	46	5	118	65	16	11	10	10	3	5	43	11	6	4	26	25	28	39	94	26	30	315	15	50	5	1
ITS2 type profile		A1	A1/A1gr/A1gd	A1-A1eq-A1ep-A1hw	A1/A1g	A1qf	A1qe	A1-A1qd-A1qe	A1/A1cl	A1-A1bw-A1bf-A1bx-A1eb	A2y	A1gd	A1-A1gr-A1gd-A1mm-A1bf	C3/C50b-C3bm-C50f-C21-C3b-C3acq	C3k/C3-C50a-C3ba-C50f-C3dq-C21ab-C3a-C3b	C3k/C3-C50a-C3ba-C29-C21ab-C50f-C3dq-C3a	C1/C3-C1c-C1b-C72k-C3ju	C50b/C3-C3bm-C50f-C21-C3b-C21ba	C21/C1	C3bo/C3k/C3-C3bp-C50a-C3jq-C3a-C3dq	C3k/C3-C3ba-C3a-C50f-C3dq-C50a-C3acr-C50aj	C21du/C21	C21dw/C3-C21fc-C21fz-C26	C50b	C21/C3a	C26/C21ac	C50b-C3-C3bm-C50f-C21-C3b	C3k	C1p-C3ds-C1	C3k/C1/C3-C1c-C50a-C3dq-C1b-C3ba-C50y	C21	C31	C3fn/C3-C3fv-C115d	C50b/C3-C3k-C50a-C50f-C3ba	C31/C21	C3k/C1-C3-C50a-C3cz-C3ba	C31-C21-C21ac	C1/C7	C26/C21-C21ac-C50b	C3bo/C3/C3k-C50a-C3bp-C29	C3k-C3-C50a-C3jv-C21ab	C21dw/C21fc-C21fz-C21fh-C3-C21ac-C21fg-C21gb-C21ez-C21gc	C1-C21-C1c	C15h/C15k	C50b-C3-C3bh-C3bm-C50f	C3/C3k-C50a-C3.10-C3gj-C21-C21cf	C3k/C1/C3/C42.2-C50a-C1b	D1/D2.2/D4-D2	D1-D4-D2-D1u-D2.2	D1/D4-D2-D17c-D17d-D1r-D17e	D1-D17i-D4-D1r-D17s-D17r	D1/D17i	F4q
227324	I090-24	0	0	0	0	0	0	0	0	0	0	0	0	0	29528.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227340	I106-24	0	0	0	0	0	0	0	0	0	0	0	0	0	32412.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2540.0	0	0
227332	I098-24	0	0	0	0	0	0	0	0	0	0	0	0	0	24592.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227392	I172-24	0	0	0	0	0	0	0	0	0	0	0	0	0	58141.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227375	I153-24	0	0	0	0	0	0	0	0	0	0	0	0	0	49750.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227343	I109-24	0	0	0	0	0	0	0	0	0	0	0	0	0	31188.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227321	I087-24	0	0	0	0	0	0	0	0	0	0	0	0	0	21414.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227360	I130-24	0	0	0	0	0	0	0	0	0	0	0	0	0	39755.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227357	I127-24	0	0	0	0	0	0	0	0	0	0	0	0	0	27595.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227327	I093-24	0	0	0	0	0	0	0	0	0	0	0	0	0	59059.0	0	0	0	1890.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227396	I176-24	0	0	0	0	0	0	0	0	0	0	0	0	0	44882.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227314	I080-24	0	0	0	0	0	0	0	0	0	0	0	0	0	38066.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227363	I136-24	0	0	0	0	0	0	0	0	0	0	0	0	0	51473.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227395	I175-24	0	0	0	0	0	0	0	0	0	0	0	0	0	26593.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227431	I211-24	0	0	0	0	0	0	0	0	0	0	0	0	0	47893.0	0	0	0	0	0	0	0	0	4908.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227386	I166-24	0	0	0	0	0	0	0	0	0	0	0	0	0	28829.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227394	I174-24	0	0	0	0	0	0	260.0	0	0	0	0	0	0	48334.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227393	I173-24	0	0	0	0	0	0	0	0	0	0	0	0	0	45571.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227390	I170-24	0	0	0	0	0	0	0	0	0	0	0	0	0	45232.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227330	I096-24	0	0	0	0	0	0	0	0	0	0	0	0	0	51122.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227434	I257-24	0	0	0	0	0	0	0	0	0	0	0	0	0	46742.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227362	I135-24	0	0	0	0	0	0	0	0	0	0	0	0	0	35141.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13568.0	0	0	0
227438	I261-24	0	0	0	0	0	0	0	0	0	0	0	0	0	46478.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22508.0	0	0	0	0	0
227425	I205-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54108.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227352	I122-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49603.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227355	I125-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53564.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227436	I259-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51461.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227365	I138-24	0	0	0	0	0	0	0	186.0	0	0	0	0	0	0	63791.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227356	I126-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48826.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227335	I101-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42055.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227354	I124-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47896.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227373	I151-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53329.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227333	I099-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47334.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227388	I168-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50340.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227351	I119-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49688.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227432	I212-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59711.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227353	I123-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35473.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227361	I134-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51863.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227334	I100-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49423.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227341	I107-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38521.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227389	I169-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50316.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227331	I097-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26788.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227344	I110-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16154.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227342	I108-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20392.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227430	I210-24	0	420.0	0	0	0	0	0	0	0	0	0	0	0	0	51907.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227359	I129-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49431.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227377	I157-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37974.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227427	I207-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47582.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227443	I216-24	0	0	0	0	0	0	0	0	0	0	0	205.0	0	0	35988.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227368	I143-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47614.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227384	I164-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44697.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227381	I161-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46552.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227380	I160-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44140.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227369	I144-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47554.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10651.0	0	0	0
227378	I158-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33697.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227435	I258-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34608.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21669.0	0	0	0	0	0
227320	I086-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26344.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227345	I111-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13129.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227406	I186-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59235.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227325	I091-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62137.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227410	I190-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73420.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227397	I177-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56755.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227411	I191-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71098.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227408	I188-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66348.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227423	I203-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52016.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227329	I095-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54830.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227412	I192-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64155.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227407	I187-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75739.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227398	I178-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73561.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227391	I171-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63426.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227413	I193-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74575.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227419	I199-24	0	0	0	0	0	0	0	0	1419.0	0	0	0	0	0	0	60700.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227409	I189-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	708.0	0	0	0	0	0	0	0	3564.0	54958.0	0	0	0	0	0
227440	I263-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6975.0	0	58782.0	0	0	0	0	0
227400	I180-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9944.0	1055.0	0	0	0	0	0	0	0	0	0	0	69903.0	0	0	0	0	0
227403	I183-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1602.0	0	0	0	0	0	0	450.0	0	0	0	0	0	0	0	0	0	0	0	0	0	12764.0	0	0	0	0	0	0	0	61816.0	0	0	0	0	0
227401	I181-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1187.0	16504.0	0	0	0	0	0	467.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42943.0	0	0	0	0	0
227370	I145-24	203.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	657.0	0	0	0	0	15421.0	1459.0	0	0	0	0	0	0	0	0	0	0	0	0	37653.0	0	0	0	0	0
227364	I137-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16085.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26810.0	0	0	0	0	0
227383	I163-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24075.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43655.0	0	0	0	0	0
227402	I182-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	799.0	18865.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34335.0	0	0	0	0	0
227405	I185-24	0	0	0	0	0	0	0	0	0	0	0	0	0	23023.0	0	0	0	1241.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39009.0	0	0	0	0	81.0
227437	I260-24	0	0	0	0	0	0	0	0	0	0	0	0	0	25489.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33840.0	0	0	0	0	0
227439	I262-24	0	0	0	0	0	0	0	0	0	0	0	0	0	18521.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24785.0	0	0	0	0	0
227442	I214-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58249.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227416	I196-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51746.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227313	I079-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11975.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227414	I194-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50082.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227417	I197-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50805.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227415	I195-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53439.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227420	I200-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47294.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227421	I201-24	0	0	0	2238.0	0	0	0	0	0	0	0	0	0	0	0	0	39531.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227424	I204-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46963.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227428	I208-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57236.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227426	I206-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54529.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227429	I209-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40200.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227347	I113-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49937.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227350	I116-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37139.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227404	I184-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31487.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3014.0	0	0	0	0	41617.0	0	0	0	0	0
227338	I104-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6281.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227339	I105-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29195.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227348	I114-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24338.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227336	I102-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20488.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227328	I094-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26735.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227259	I003-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1548.0	7092.0	963.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227444	I035-24b	0	0	0	0	0	0	0	0	0	0	4671.0	0	0	0	0	0	0	0	0	0	2142.0	11100.0	0	0	0	0	1814.0	0	0	0	1552.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227371	I146-24	0	0	580.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1358.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9040.0	0	0	0	0	0	0	82103.0	0	0	0	0
227367	I142-24	82.0	0	0	0	136.0	0	0	0	0	111.0	0	0	0	0	0	0	0	0	0	0	0	3937.0	0	0	0	0	953.0	701.0	0	644.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49615.0	0	0	0	0
227372	I150-24	0	0	0	0	0	327.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1603.0	5493.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67438.0	0	0	0	0
227299	I058-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27240.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227310	I074-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62653.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
