SampleID,Reference,Reef,Site,Date,Bag,Species,Depth..m.,Bleach.score,Vial,Year,GPS.S,GPS.E
A314-24,1227,Diamond,West,13/7/2024,78,Acropora,4.6,5,A314,24,17.445,150.80667
A315-24,1229,Diamond,West,13/7/2024,80,Acropora,3.5,5,A315,24,17.445,150.80667
A316-24,1231,Coringa,South West,14/7/2024,12,Acropora,7.3,5,A316,24,16.96833,149.90667
A317-24,1232,Coringa,South West,14/7/2024,13,Acropora,8,6,A317,24,16.96833,149.90667
A318-24,1234,Coringa,South West,14/7/2024,15,Acropora,8,6,A318,24,16.96833,149.90667
A319-24,1236,Coringa,South West,14/7/2024,17,Acropora,6.8,5,A319,24,16.96833,149.90667
A320-24,1238,Coringa,South West,14/7/2024,19,Acropora,5.2,6,A320,24,16.96833,149.90667
A321-24,1239,Coringa,South West,14/7/2024,20,Acropora,7.4,5,A321,24,16.96833,149.90667
A322-24,1241,Coringa,South West,14/7/2024,22,Acropora,7.7,6,A322,24,16.96833,149.90667
A323-24,1244,Coringa,South West,14/7/2024,25,Acropora,6.6,5,A323,24,16.96833,149.90667
A324-24,1246,Coringa,South West,14/7/2024,27,Acropora,5.6,4,A324,24,16.96833,149.90667
A325-24,1253,Coringa,South West,14/7/2024,35,Acropora,8.9,4,A325,24,16.96833,149.90667
A326-24,1254,Coringa,South West,14/7/2024,36,Acropora,9.4,4,A326,24,16.96833,149.90667
A327-24,1256,Coringa,South West,14/7/2024,38,Acropora,6.9,5,A327,24,16.96833,149.90667
A328-24,1259,Coringa,South West,14/7/2024,43,Acropora,5.5,4,A328,24,16.96833,149.90667
A329-24,1260,Coringa,South West,14/7/2024,44,Acropora,5.7,4,A329,24,16.96833,149.90667
A330-24,1264,Coringa,South West,14/7/2024,49,Acropora,3.8,5,A330,24,16.96833,149.90667
A331-24,1266,Coringa,South West,14/7/2024,51,Acropora,4.4,4,A331,24,16.96833,149.90667
A332-24,1270,Coringa,South West,14/7/2024,55,Acropora,3.7,4,A332,24,16.96833,149.90667
A333-24,1272,Coringa,Chilcott,14/7/2024,12,Acropora,9,6,A333,24,19.93694,150.00361
A334-24,1273,Coringa,Chilcott,14/7/2024,13,Acropora,8.5,5,A334,24,19.93694,150.00361
A335-24,1274,Coringa,Chilcott,14/7/2024,14,Acropora,6.3,5,A335,24,19.93694,150.00361
A336-24,1276,Coringa,Chilcott,14/7/2024,16,Acropora,5.6,5,A336,24,19.93694,150.00361
A337-24,1277,Coringa,Chilcott,14/7/2024,17,Acropora,6.5,6,A337,24,19.93694,150.00361
A338-24,1280,Coringa,Chilcott,14/7/2024,20,Acropora,6.1,5,A338,24,19.93694,150.00361
A339-24,1287,Coringa,Chilcott,14/7/2024,27,Acropora,4,5,A339,24,19.93694,150.00361
A340-24,1290,Coringa,Chilcott,14/7/2024,31,Acropora,4.7,4,A340,24,19.93694,150.00361
A341-24,1292,Coringa,Chilcott,14/7/2024,33,Acropora,4.2,4,A341,24,19.93694,150.00361
A342-24,1293,Coringa,Chilcott,14/7/2024,34,Acropora,4.4,5,A342,24,19.93694,150.00361
A343-24,1295,Coringa,Chilcott,14/7/2024,36,Acropora,4.9,5,A343,24,19.93694,150.00361
A344-24,1296,Coringa,Chilcott,14/7/2024,37,Acropora,4.6,5,A344,24,19.93694,150.00361
A345-24,1299,Coringa,Chilcott,14/7/2024,41,Acropora,2.5,4,A345,24,19.93694,150.00361
A346-24,1301,Coringa,Chilcott,14/7/2024,44,Acropora,3.6,4,A346,24,19.93694,150.00361
A347-24,1303,Willis,,15/7/2024,52,Acropora,6.3,4,A347,24,16.11697,149.97095
A348-24,1306,Willis,,15/7/2024,55,Acropora,6.3,5,A348,24,16.11697,149.97095
A349-24,1315,Willis,,15/7/2024,64,Acropora,5.2,4,A349,24,16.11697,149.97095
A350-24,1320,Willis,,15/7/2024,69,Acropora,5.2,4,A350,24,16.11697,149.97095
A351-24,1322,Willis,,15/7/2024,71,Acropora,5.4,5,A351,24,16.11697,149.97095
A352-24,1327,Herald,1,16/7/2024,14,Acropora,7.9,4,A352,24,16.94348,149.18565
A353-24,1331,Herald,1,16/7/2024,18,Acropora,8.4,5,A353,24,16.94348,149.18565
A354-24,1333,Herald,1,16/7/2024,20,Acropora,10.3,5,A354,24,16.94348,149.18565
A355-24,1334,Herald,1,16/7/2024,21,Acropora,10.7,4,A355,24,16.94348,149.18565
A356-24,1335,Herald,1,16/7/2024,22,Acropora,9.3,4,A356,24,16.94348,149.18565
A357-24,1340,Herald,6,16/7/2024,31,Acropora,8.7,3,A357,24,16.99189,149.13075
AMIL001-24,,GBR,,,,Acropora,,,,,18.4962,147.37608
AMIL002-24,,GBR,,,,Acropora,,,,,18.4962,147.37608
AMIL003-24,,GBR,,,,Acropora,,,,,18.4962,147.37608
AMIL004-24,,GBR,,,,Acropora,,,,,18.4962,147.37608
